Frame	Rg
0	8.226015090942383
1	8.226015090942383
2	8.331026077270508
3	8.339810371398926
4	8.369600296020508
5	8.345724105834961
6	8.301553726196289
7	8.368298530578613
8	8.347012519836426
9	8.37206745147705
10	8.328842163085938
11	8.352781295776367
12	8.380874633789063
13	8.29439640045166
14	8.378719329833984
15	8.310235023498535
16	8.345462799072266
17	8.364726066589355
18	8.355072021484375
19	8.312362670898438
20	8.34305191040039
21	8.33996868133545
22	8.3514404296875
23	8.344568252563477
24	8.296178817749023
25	8.338346481323242
26	8.296746253967285
27	8.325579643249512
28	8.330086708068848
29	8.352155685424805
30	8.32170295715332
31	8.317245483398438
32	8.292961120605469
33	8.313352584838867
34	8.409981727600098
35	8.384744644165039
36	8.3329496383667
37	8.417045593261719
38	8.416328430175781
39	8.425504684448242
40	8.354679107666016
41	8.398717880249023
42	8.317127227783203
43	8.331466674804688
44	8.424715995788574
45	8.405296325683594
46	8.549642562866211
47	8.635123252868652
48	8.896843910217285
49	8.543327331542969
50	8.922975540161133
51	8.703786849975586
52	8.670296669006348
53	8.57984447479248
54	8.512371063232422
55	8.588345527648926
56	8.31353759765625
57	8.386772155761719
58	8.300853729248047
59	8.192948341369629
60	8.438488960266113
61	8.5349702835083
62	8.238641738891602
63	8.363030433654785
64	8.41025447845459
65	8.453837394714355
66	8.433521270751953
67	8.566665649414063
68	8.387239456176758
69	8.379399299621582
70	8.324398040771484
71	8.362258911132813
72	8.326465606689453
73	8.261077880859375
74	8.318266868591309
75	8.320372581481934
76	8.258264541625977
77	8.253478050231934
78	8.363231658935547
79	8.415481567382813
80	8.337276458740234
81	8.337465286254883
82	8.453439712524414
83	8.329503059387207
84	8.246184349060059
85	8.291955947875977
86	8.288043022155762
87	8.381614685058594
88	8.364056587219238
89	8.340001106262207
90	8.388833999633789
91	8.181939125061035
92	8.252232551574707
93	8.211777687072754
94	8.172218322753906
95	8.253291130065918
96	8.301470756530762
97	8.41138744354248
98	8.402192115783691
99	8.346456527709961
100	8.200088500976563
101	8.354193687438965
102	8.432074546813965
103	8.342879295349121
104	8.409305572509766
105	8.375509262084961
106	8.44999885559082
107	8.357972145080566
108	8.293461799621582
109	8.349651336669922
110	8.38138484954834
111	8.204865455627441
112	8.340133666992188
113	8.223483085632324
114	8.245116233825684
115	8.380547523498535
116	8.369300842285156
117	8.22429084777832
118	8.33017635345459
119	8.411206245422363
120	8.12674331665039
121	8.360788345336914
122	8.334430694580078
123	8.248990058898926
124	8.241494178771973
125	8.329304695129395
