Frame	Rg
0	10.351221084594727
1	10.351221084594727
2	10.256318092346191
3	10.290379524230957
4	10.326875686645508
5	10.293720245361328
6	10.231958389282227
7	10.23989486694336
8	10.26453971862793
9	10.233447074890137
10	10.34536361694336
11	10.294768333435059
12	10.262457847595215
13	10.28504753112793
14	10.291162490844727
15	10.23165512084961
16	10.252448081970215
17	10.297072410583496
18	10.317249298095703
19	10.255552291870117
20	10.278020858764648
21	10.290060043334961
22	10.30306339263916
23	10.31459903717041
24	10.310051918029785
25	10.284868240356445
26	10.25757122039795
27	10.329848289489746
28	10.34622573852539
29	10.402523040771484
30	10.362089157104492
31	10.328715324401855
32	10.330355644226074
33	10.32480525970459
34	10.39173698425293
35	10.321760177612305
36	10.369027137756348
37	10.439972877502441
38	10.495683670043945
39	10.419878959655762
40	10.433147430419922
41	10.462165832519531
42	10.47677993774414
43	10.404147148132324
44	10.426240921020508
45	10.719189643859863
46	10.746557235717773
47	10.865045547485352
48	10.694245338439941
49	10.768625259399414
50	10.713005065917969
51	10.64448356628418
52	10.562780380249023
53	10.747588157653809
54	10.688018798828125
55	10.458802223205566
56	10.64089298248291
57	10.459630966186523
58	10.322271347045898
59	10.264872550964355
60	10.495707511901855
61	10.455631256103516
62	10.390013694763184
63	10.533268928527832
64	10.392763137817383
65	10.351601600646973
66	10.520710945129395
67	10.318029403686523
68	10.338119506835938
69	10.115513801574707
70	10.256546020507813
71	10.294719696044922
72	10.179960250854492
73	10.022928237915039
74	10.114023208618164
75	10.189945220947266
76	10.2783203125
77	10.055641174316406
78	10.267236709594727
79	10.328165054321289
80	10.191102981567383
81	10.179776191711426
82	10.226573944091797
83	9.984132766723633
84	10.029473304748535
85	10.039885520935059
86	10.014431953430176
87	10.319867134094238
88	10.117124557495117
89	10.328493118286133
90	10.32796573638916
91	10.319546699523926
92	10.102020263671875
93	10.40918254852295
94	10.397235870361328
95	10.349806785583496
96	10.286825180053711
97	10.41921329498291
98	10.54032039642334
99	10.393054008483887
100	10.271753311157227
101	10.222468376159668
102	10.391722679138184
103	10.292555809020996
104	10.173683166503906
105	10.211600303649902
106	10.207571983337402
107	10.38442611694336
108	10.490110397338867
109	10.401379585266113
110	10.364126205444336
111	10.427614212036133
112	10.295570373535156
113	10.411564826965332
114	10.272232055664063
115	10.390097618103027
116	10.471358299255371
117	10.345005989074707
118	10.28439998626709
119	10.27155590057373
120	10.501546859741211
