Frame	Rg
0	8.226015090942383
1	8.226015090942383
2	8.360352516174316
3	8.338079452514648
4	8.357972145080566
5	8.387335777282715
6	8.352391242980957
7	8.36205005645752
8	8.349592208862305
9	8.376260757446289
10	8.326925277709961
11	8.370689392089844
12	8.340968132019043
13	8.371925354003906
14	8.350273132324219
15	8.360634803771973
16	8.317572593688965
17	8.370491981506348
18	8.396146774291992
19	8.357683181762695
20	8.37319564819336
21	8.303460121154785
22	8.279278755187988
23	8.365479469299316
24	8.307153701782227
25	8.378457069396973
26	8.285394668579102
27	8.366179466247559
28	8.37368392944336
29	8.341951370239258
30	8.318074226379395
31	8.314841270446777
32	8.379971504211426
33	8.40705680847168
34	8.338781356811523
35	8.352176666259766
36	8.307644844055176
37	8.310301780700684
38	8.393000602722168
39	8.39489459991455
40	8.32947826385498
41	8.370658874511719
42	8.442261695861816
43	8.408183097839355
44	8.407156944274902
45	8.441497802734375
46	8.567813873291016
47	8.467815399169922
48	8.450364112854004
49	8.608848571777344
50	8.493326187133789
51	8.530537605285645
52	8.228671073913574
53	8.604384422302246
54	8.748793601989746
55	8.394219398498535
56	8.532395362854004
57	8.457881927490234
58	8.568568229675293
59	8.446649551391602
60	8.479992866516113
61	8.389933586120605
62	8.331231117248535
63	8.377237319946289
64	8.61704158782959
65	8.550959587097168
66	8.36655330657959
67	8.261133193969727
68	8.53050422668457
69	8.388891220092773
70	8.512332916259766
71	8.321833610534668
72	8.461407661437988
73	8.360968589782715
74	8.334525108337402
75	8.562155723571777
76	8.406512260437012
77	8.316900253295898
78	8.469340324401855
79	8.462457656860352
80	8.370328903198242
81	8.259449005126953
82	8.221004486083984
83	8.414950370788574
84	8.305771827697754
85	8.279696464538574
86	8.338553428649902
87	8.326733589172363
88	8.162591934204102
89	8.35819149017334
90	8.299893379211426
91	8.413491249084473
92	8.448493003845215
93	8.625807762145996
94	8.462942123413086
95	8.371252059936523
96	8.285715103149414
97	8.255278587341309
98	8.326767921447754
99	8.568267822265625
100	8.404725074768066
101	8.62879467010498
102	8.541311264038086
103	8.524465560913086
104	8.424127578735352
105	8.531719207763672
106	8.576412200927734
107	8.340763092041016
108	8.577282905578613
109	8.468839645385742
110	8.593669891357422
111	8.44222354888916
112	8.548802375793457
113	8.471441268920898
114	8.582690238952637
115	8.551084518432617
116	8.658697128295898
117	8.500983238220215
118	8.641828536987305
119	8.536431312561035
120	8.699041366577148
121	8.606658935546875
122	8.631826400756836
123	8.560784339904785
124	8.547143936157227
125	8.60245418548584
