Frame	Distance
0	5.853823661804199
1	5.853823661804199
2	3.7159764766693115
3	3.3794023990631104
4	3.2485451698303223
5	3.2937748432159424
6	3.4450182914733887
7	3.2502434253692627
8	3.2521257400512695
9	3.457057476043701
10	5.300645351409912
11	5.204603672027588
12	4.026243209838867
13	5.1347784996032715
14	5.541441917419434
15	5.45871114730835
16	4.781346321105957
17	5.099668502807617
18	5.28858757019043
19	5.187870025634766
20	5.314826965332031
21	5.4283127784729
22	5.267734050750732
23	5.514254093170166
24	5.436944484710693
25	5.495543003082275
26	5.463331699371338
27	4.427852630615234
28	4.003316879272461
29	5.597537040710449
30	4.504344463348389
31	4.335762023925781
32	5.395440101623535
33	4.338381767272949
34	5.352928638458252
35	5.560143947601318
36	5.246376037597656
37	5.2530035972595215
38	4.919091701507568
39	5.173363208770752
40	5.324923992156982
41	4.861791610717773
42	5.11262845993042
43	4.748351097106934
44	4.880927562713623
45	4.633071422576904
46	5.11549186706543
47	4.389153480529785
48	5.1795244216918945
49	4.790780544281006
50	4.726404666900635
51	4.572325706481934
52	5.349983215332031
53	3.609867811203003
54	4.463513374328613
55	4.316802024841309
56	4.273809432983398
57	3.2235195636749268
58	3.541966676712036
59	4.66887092590332
60	5.325786113739014
61	4.800737380981445
62	4.579550743103027
63	4.406772613525391
64	4.9633331298828125
65	5.010981559753418
66	4.904872894287109
67	4.78676700592041
68	3.6545519828796387
69	3.128110408782959
70	3.2432334423065186
71	3.257781982421875
72	3.151144027709961
73	3.552891969680786
74	3.3351287841796875
75	3.445326566696167
76	3.080228090286255
77	3.2989325523376465
78	3.518690824508667
79	3.705286741256714
80	3.448639154434204
81	3.503178596496582
82	3.5224053859710693
83	3.482403039932251
84	3.4377872943878174
85	3.0551655292510986
86	3.529567241668701
87	3.4801619052886963
88	3.4780478477478027
89	3.413456916809082
90	3.4259743690490723
91	3.334859609603882
92	3.5185294151306152
93	3.467586040496826
94	3.522035837173462
95	3.447446346282959
96	3.5524239540100098
97	3.4402172565460205
98	3.6519625186920166
99	3.70469069480896
100	3.616806745529175
101	3.284456968307495
102	3.4927330017089844
103	2.9286839962005615
104	4.339905738830566
105	2.819474458694458
106	7.020442962646484
107	3.714080572128296
108	4.200212478637695
109	4.859964847564697
110	3.886655569076538
111	3.6087229251861572
112	4.018749237060547
113	4.86363410949707
114	5.0704755783081055
115	5.4001359939575195
116	4.876364707946777
117	3.4678232669830322
118	3.8342580795288086
119	4.824681282043457
120	5.119717121124268
121	4.944406032562256
122	4.91960334777832
123	4.785711288452148
124	3.2321910858154297
125	3.4192330837249756
126	3.943121910095215
127	5.920478820800781
128	3.666896343231201
129	3.4611926078796387
130	3.8271186351776123
131	2.6436350345611572
132	3.5630428791046143
133	4.978285789489746
134	5.194820880889893
135	4.90319299697876
136	5.254115104675293
137	4.933436870574951
138	4.454147815704346
139	4.73222541809082
140	5.029168128967285
141	4.922898292541504
142	5.6376166343688965
143	4.538280010223389
144	5.387511253356934
145	5.18735933303833
146	4.513447284698486
147	5.4532036781311035
148	4.350186824798584
149	4.404541969299316
150	5.483790397644043
151	4.073520183563232
152	6.7123894691467285
153	3.692298650741577
154	3.970823049545288
155	2.8082504272460938
156	3.729867458343506
157	3.2392354011535645
158	3.955902338027954
159	3.261432409286499
160	3.9046483039855957
161	3.4982516765594482
162	4.094607830047607
163	5.226077079772949
164	4.635095596313477
165	4.866815090179443
166	4.055131912231445
167	3.5993025302886963
168	3.7194173336029053
169	3.7642409801483154
170	3.5168325901031494
171	4.389800071716309
172	3.7916181087493896
173	3.332690954208374
174	3.284888505935669
175	3.5341238975524902
176	4.4761481285095215
177	4.549193859100342
178	4.310242176055908
179	4.1313910484313965
180	4.478820323944092
181	3.7279722690582275
182	3.34804105758667
183	3.151160955429077
184	3.3462679386138916
185	3.7977428436279297
186	4.020476818084717
187	3.866330623626709
188	3.6969215869903564
189	3.399979591369629
190	3.286780595779419
191	4.111044883728027
192	4.2045087814331055
193	3.6990549564361572
194	3.582245349884033
195	4.691244125366211
196	3.2486655712127686
197	4.49614143371582
198	4.777370452880859
199	5.198602199554443
200	4.288175582885742
201	4.120383262634277
202	3.602372169494629
203	3.7415101528167725
204	3.5879905223846436
205	3.8045499324798584
206	4.1729817390441895
207	4.072821140289307
208	4.760499000549316
209	5.211771488189697
210	3.5269665718078613
211	4.16459846496582
212	4.163145065307617
213	3.7467052936553955
214	4.280961990356445
215	4.453098773956299
216	5.9516730308532715
217	5.836121082305908
218	4.3796234130859375
219	4.538052082061768
220	3.3157734870910645
221	4.359112739562988
222	3.9254517555236816
223	4.589738368988037
224	4.302258014678955
225	3.188832998275757
226	3.5379419326782227
227	3.5250701904296875
228	3.935485601425171
229	3.345957040786743
230	5.605468273162842
231	3.7596333026885986
232	3.7583208084106445
233	4.172374248504639
234	3.8594391345977783
235	4.63435697555542
236	4.483412742614746
237	4.949321269989014
238	3.7333006858825684
239	4.682228088378906
240	4.733354568481445
241	4.66578483581543
242	4.675034046173096
243	4.339535713195801
244	4.373902320861816
245	4.689741611480713
246	4.747565746307373
247	4.920485496520996
248	4.325552940368652
249	4.9923415184021
250	4.160380840301514
251	5.792913436889648
252	5.291950225830078
253	5.104039192199707
254	5.003823757171631
255	4.378812789916992
256	4.368706226348877
257	4.089378356933594
258	4.8049540519714355
259	4.830905914306641
260	4.736876964569092
261	5.099905490875244
262	4.595216751098633
263	5.0324225425720215
264	6.915332794189453
265	4.830226421356201
266	3.3857009410858154
267	4.463143825531006
268	4.135162830352783
269	4.040458679199219
270	3.8854691982269287
271	3.9574480056762695
272	5.328513145446777
273	5.51585578918457
274	4.444644451141357
275	4.283677577972412
276	4.046717643737793
277	4.863194942474365
278	4.578253746032715
279	4.132835388183594
280	5.190871715545654
281	4.168670654296875
282	4.313363552093506
283	4.783068656921387
284	4.244728088378906
285	4.854006290435791
286	4.3311238288879395
287	4.294602870941162
288	4.475316047668457
289	4.596806526184082
290	4.016329765319824
291	4.279174327850342
292	4.346719741821289
293	4.200680732727051
294	4.748828887939453
295	4.643060207366943
296	3.628615140914917
297	3.856743097305298
298	3.8417036533355713
299	3.7160871028900146
300	3.8044276237487793
301	3.7488646507263184
302	3.466858148574829
303	3.6998188495635986
304	3.4201254844665527
305	4.239638805389404
306	4.26285457611084
307	3.643911838531494
308	3.988142490386963
309	4.547890663146973
310	4.866635799407959
311	4.668171405792236
312	4.218244552612305
313	5.004261493682861
314	4.204858303070068
315	4.3792924880981445
316	4.509056091308594
317	4.506017208099365
318	4.883916854858398
319	4.888424396514893
320	4.517288684844971
321	4.578478813171387
322	4.450974464416504
323	4.360714435577393
324	4.399156093597412
325	4.442101955413818
326	3.681731939315796
327	5.010069370269775
328	4.96834135055542
329	4.8927130699157715
330	3.7040915489196777
331	4.415889739990234
332	4.124104976654053
333	4.431647777557373
334	4.399286270141602
335	4.375787734985352
336	4.316327095031738
337	4.085145950317383
338	4.592416763305664
339	4.300233840942383
340	4.214132308959961
341	4.333539009094238
342	4.718041896820068
343	5.515008926391602
344	4.483458042144775
345	5.259236812591553
346	4.571896076202393
347	5.3823370933532715
348	4.304327487945557
349	4.729317665100098
350	5.00939416885376
351	4.0876994132995605
352	4.651625633239746
353	4.273190498352051
354	4.297814846038818
355	4.726984977722168
356	4.397603988647461
357	4.694984436035156
358	3.9152326583862305
359	4.1412529945373535
360	5.359254837036133
361	4.650889873504639
362	4.484039306640625
363	3.854159355163574
364	4.383530139923096
365	3.9683339595794678
366	4.444593906402588
367	3.8410613536834717
368	4.043854236602783
369	3.8874313831329346
370	3.2247772216796875
371	4.083168029785156
372	4.322927951812744
373	4.075382232666016
374	3.97483491897583
375	3.9433815479278564
376	3.682216167449951
377	3.515813112258911
378	3.831199884414673
379	3.629912853240967
380	3.908846378326416
381	4.407726287841797
382	5.128503322601318
383	5.645082950592041
384	5.07593297958374
385	4.986959457397461
386	6.04230260848999
387	6.4085869789123535
