Frame	Rg
0	10.410441398620605
1	10.410441398620605
2	10.328553199768066
3	10.299115180969238
4	10.288573265075684
5	10.32208251953125
6	10.349767684936523
7	10.35351848602295
8	10.321102142333984
9	10.31936264038086
10	10.257554054260254
11	10.307605743408203
12	10.32241439819336
13	10.329106330871582
14	10.332549095153809
15	10.298686027526855
16	10.329099655151367
17	10.27700424194336
18	10.38663101196289
19	10.312126159667969
20	10.387724876403809
21	10.430787086486816
22	10.357264518737793
23	10.341083526611328
24	10.41629409790039
25	10.426575660705566
26	10.411593437194824
27	10.309294700622559
28	10.367195129394531
29	10.346330642700195
30	10.435495376586914
31	10.430679321289063
32	10.46187686920166
33	10.358126640319824
34	10.519218444824219
35	10.401283264160156
36	10.42917537689209
37	10.43891429901123
38	10.627389907836914
39	10.562676429748535
40	10.537111282348633
41	10.512537002563477
42	10.594667434692383
43	10.525811195373535
44	10.471175193786621
45	10.659660339355469
46	10.53935718536377
47	10.583935737609863
48	10.405202865600586
49	10.541008949279785
50	10.47375202178955
51	10.83096694946289
52	10.662487983703613
53	10.875475883483887
54	11.048571586608887
55	11.06702709197998
56	10.752673149108887
57	10.840980529785156
58	10.926593780517578
59	10.9734468460083
60	10.920692443847656
61	10.646713256835938
62	10.789127349853516
63	10.812742233276367
64	10.96971321105957
65	10.793368339538574
66	10.918388366699219
67	10.483542442321777
68	10.680721282958984
69	10.775134086608887
70	10.880379676818848
71	11.103048324584961
72	11.115097999572754
73	10.965569496154785
74	11.132509231567383
75	11.162921905517578
76	11.256312370300293
77	11.29768180847168
78	10.927749633789063
79	10.93631362915039
80	11.071436882019043
81	10.947063446044922
82	11.044193267822266
83	11.12243938446045
84	11.103801727294922
85	11.073225975036621
86	11.075286865234375
87	11.154847145080566
88	11.161727905273438
89	11.002108573913574
90	11.128579139709473
91	11.039470672607422
92	10.98273754119873
93	10.977788925170898
94	11.109127044677734
95	11.042776107788086
96	10.958823204040527
97	10.955005645751953
98	10.668484687805176
99	10.743498802185059
100	10.672160148620605
101	10.601311683654785
102	10.743013381958008
103	10.674919128417969
104	10.668458938598633
105	10.584376335144043
106	10.588443756103516
107	10.590188026428223
108	10.603524208068848
109	10.486303329467773
110	10.458959579467773
