Frame	Distance
0	5.853823661804199
1	5.853823661804199
2	3.439549446105957
3	3.341899871826172
4	3.5560340881347656
5	4.910283088684082
6	4.844224452972412
7	4.999354839324951
8	6.484530448913574
9	6.404293060302734
10	4.918210029602051
11	4.279346942901611
12	4.243861675262451
13	4.897555351257324
14	5.140717506408691
15	4.7862138748168945
16	5.762771129608154
17	4.4540605545043945
18	5.112620830535889
19	5.3918843269348145
20	4.277589321136475
21	4.319768905639648
22	4.8607940673828125
23	5.234272003173828
24	5.242473125457764
25	4.343520164489746
26	6.474892616271973
27	3.870450973510742
28	5.523001670837402
29	5.045844078063965
30	5.614261627197266
31	5.376152992248535
32	4.822378158569336
33	4.458802700042725
34	4.504641532897949
35	4.898681163787842
36	5.9831061363220215
37	4.679821014404297
38	6.308193683624268
39	5.519138813018799
40	5.813688278198242
41	4.66218900680542
42	4.428171634674072
43	4.641851425170898
44	4.635072231292725
45	4.712369441986084
46	5.005366802215576
47	5.166490077972412
48	4.789045810699463
49	5.13082218170166
50	4.568715572357178
51	4.878743648529053
52	4.894308090209961
53	4.862551212310791
54	5.249743461608887
55	4.571810245513916
56	5.090908050537109
57	5.369279861450195
58	4.409886360168457
59	4.598994731903076
60	4.6766767501831055
61	4.518743991851807
62	4.621074676513672
63	3.8361799716949463
64	4.817474842071533
65	4.797606468200684
66	4.660438537597656
67	5.204140663146973
68	4.4074788093566895
69	5.175595760345459
70	4.7806525230407715
71	4.485605716705322
72	5.175975322723389
73	4.701082706451416
74	4.7084760665893555
75	4.578302383422852
76	4.92860746383667
77	4.836123466491699
78	5.063175201416016
79	4.724774360656738
80	5.3378520011901855
81	3.9532833099365234
82	4.2364068031311035
83	5.1676530838012695
84	4.517581462860107
85	4.938304424285889
86	5.166076183319092
87	4.7620930671691895
88	5.294520378112793
89	4.56036376953125
90	5.5165114402771
91	5.324514389038086
92	4.832587718963623
93	4.908758163452148
94	4.474582672119141
95	4.9184746742248535
96	4.888636112213135
97	4.851533889770508
98	5.538078308105469
99	5.148337364196777
100	4.067406177520752
101	4.405861854553223
102	4.439032077789307
103	5.26948881149292
104	4.242417335510254
105	3.40704345703125
106	3.258925437927246
107	3.6115427017211914
108	3.282728672027588
109	3.4917473793029785
110	3.3006973266601562
111	3.4384450912475586
112	3.307922601699829
113	3.6108477115631104
114	3.688641309738159
115	3.6657931804656982
116	3.420409917831421
117	3.1773288249969482
118	3.2434258460998535
119	3.1735236644744873
120	3.247953414916992
121	3.520507335662842
122	3.32938289642334
123	3.4809253215789795
124	3.7662675380706787
125	3.184372663497925
126	3.0491483211517334
127	3.189974784851074
128	3.217322826385498
129	2.950390338897705
130	3.265244245529175
131	3.6708695888519287
132	3.0385677814483643
133	3.372022867202759
134	3.3959052562713623
135	3.078711986541748
136	3.30535626411438
137	3.322600841522217
138	3.001863479614258
139	3.3980495929718018
140	3.253309488296509
141	3.1457533836364746
142	3.181710958480835
143	3.629032611846924
144	3.2610771656036377
145	3.674264430999756
146	3.242643356323242
147	3.1271867752075195
148	3.086766242980957
149	3.204538106918335
150	3.1944947242736816
151	3.219306230545044
152	3.307514190673828
153	3.4685609340667725
154	3.5946052074432373
155	3.311509132385254
156	3.0904924869537354
157	3.471036434173584
158	3.126659393310547
159	4.954031944274902
160	3.318915605545044
161	3.4741017818450928
162	3.5518460273742676
163	3.4457242488861084
164	3.4747533798217773
165	3.303555965423584
166	3.5754830837249756
167	3.61483097076416
168	3.4822194576263428
169	3.618347644805908
170	3.3975942134857178
171	3.3958401679992676
172	3.5167853832244873
173	3.307738780975342
174	3.0833351612091064
175	3.094618320465088
176	3.622170925140381
177	3.6527140140533447
178	4.784591197967529
179	5.284303665161133
180	4.373366355895996
181	5.0224995613098145
182	4.33909797668457
183	4.519820690155029
184	5.649967193603516
185	4.761200428009033
186	4.538880348205566
187	4.409598350524902
188	4.718096733093262
189	4.763766288757324
190	4.219573497772217
191	4.641311168670654
192	4.793705463409424
193	4.45911169052124
194	5.093298435211182
195	4.4435505867004395
196	4.988458633422852
197	5.5562262535095215
198	4.914742946624756
199	5.202757358551025
200	4.287888050079346
201	4.9573974609375
202	4.835733413696289
203	4.126765727996826
204	4.383367538452148
205	4.731240749359131
206	4.575090408325195
207	4.4717607498168945
208	4.638266086578369
209	4.914912223815918
210	5.391717910766602
211	4.861576557159424
212	4.528102397918701
213	5.197082996368408
214	4.646641731262207
215	5.007627964019775
216	4.663619041442871
217	3.10512375831604
218	3.2315855026245117
219	3.4750401973724365
220	3.522519826889038
221	3.4730966091156006
222	3.2495436668395996
223	3.5398988723754883
224	4.765978813171387
225	4.712918758392334
226	5.319796562194824
227	5.6209211349487305
228	4.869381904602051
229	5.281313419342041
230	4.8185834884643555
231	4.953257083892822
232	5.002219200134277
233	4.382376670837402
234	3.4603898525238037
235	3.221757173538208
236	3.0791428089141846
237	3.3033173084259033
238	3.3582589626312256
239	3.465893268585205
240	3.350670099258423
241	3.4123411178588867
242	3.2888550758361816
243	3.5482771396636963
244	3.450385570526123
245	3.568190336227417
246	3.241896390914917
247	2.889411211013794
248	3.472651243209839
249	3.4302306175231934
250	3.456019639968872
251	3.3329782485961914
252	3.8257434368133545
253	3.3998405933380127
254	3.434091091156006
255	4.394644260406494
256	5.368732452392578
257	4.217666149139404
258	3.8871264457702637
259	4.122840881347656
260	5.241027355194092
261	5.040386199951172
262	5.145573139190674
263	4.911806106567383
264	3.3845973014831543
265	3.2660694122314453
266	5.567443370819092
267	5.2244553565979
268	5.1001152992248535
269	5.1986188888549805
270	4.947955131530762
271	4.929973125457764
272	4.756036758422852
273	4.4712629318237305
274	5.353324890136719
275	3.505215883255005
276	3.380524158477783
277	3.257131576538086
278	3.2232534885406494
279	3.3080005645751953
280	3.348155975341797
281	2.9050068855285645
282	4.499433517456055
283	4.132312297821045
284	3.2492239475250244
285	3.84614896774292
286	3.6980884075164795
287	3.5131382942199707
288	3.2503702640533447
289	3.5391178131103516
290	3.815751314163208
291	3.1475117206573486
292	3.3498404026031494
293	3.6920816898345947
294	3.6226983070373535
295	3.926504373550415
296	3.515432357788086
297	3.8331189155578613
298	2.5609376430511475
299	3.752622604370117
300	4.39795446395874
301	4.869807243347168
302	5.7587571144104
303	5.207363128662109
304	3.6449196338653564
305	4.8154096603393555
306	6.127967357635498
307	4.448975086212158
308	4.975187301635742
309	4.7151384353637695
310	4.331837177276611
311	4.85530948638916
312	5.055543422698975
313	4.639725685119629
314	4.501833915710449
315	5.354875087738037
316	3.6558053493499756
317	4.025481700897217
318	5.28936767578125
319	5.1868109703063965
320	5.097517013549805
321	3.2840960025787354
322	3.5066709518432617
323	3.3962643146514893
324	3.458953380584717
325	3.498215436935425
326	3.7142081260681152
327	3.5163750648498535
328	3.4880177974700928
329	3.585723638534546
330	3.5118255615234375
331	3.546480178833008
332	4.824651718139648
333	5.264734745025635
334	4.836198329925537
335	5.305052280426025
336	5.023255825042725
337	5.099841594696045
338	5.113645076751709
339	5.519463539123535
340	4.725649833679199
341	5.153112888336182
342	5.2544474601745605
343	5.322400093078613
344	5.08134651184082
345	4.441929817199707
346	4.137887001037598
347	4.848226547241211
348	5.521903991699219
349	5.246050834655762
350	4.61167573928833
351	5.1574296951293945
352	5.460506439208984
353	5.275895595550537
354	5.320605278015137
355	4.799861431121826
356	5.183272361755371
357	5.303827285766602
358	5.375204563140869
359	5.1570868492126465
360	5.122700214385986
361	4.993076801300049
362	4.908584117889404
363	5.067270755767822
364	4.516281604766846
365	4.854492664337158
366	5.160600185394287
367	5.07309627532959
368	4.584871292114258
369	5.391604423522949
370	4.78539514541626
371	4.255671501159668
372	4.572490692138672
373	5.2352447509765625
374	4.63400411605835
375	4.865281581878662
376	5.394550323486328
377	4.882248401641846
378	4.7870941162109375
379	4.77904748916626
380	4.815948963165283
381	3.238856554031372
382	3.507913589477539
383	3.4737138748168945
384	3.453031063079834
385	3.46189284324646
386	3.629624605178833
